dealname,dealstage,close date,associated contact
XRjTSuAOBYl,Pending Response,02-13-2019,mNdnoOddIHB
VQJlaPuZCgu,Pending Response,09-12-2021,MGvABOJvqwq
CDGJnCvdeUK,Pending Response,03-01-2022,KkOqxRXvbZs
JAxobEDiRni,Pending Contract,10-14-2022,rSFViJjdMcO
XwyamTpbGYK,Pending Contract,05-17-2021,bAaiCuSliAp
dlZIIPmfInR,Closed Won,11-03-2022,PBpbKSltEHJ
hCYHAtHxjoH,Pending Response,03-25-2021,vArwJBqwRKV
SCzZpjqUJpG,Pending Contract,09-13-2018,tuouvABTshv
YaOLPGraBnj,Pending Contract,09-22-2020,HFrvAhnIbnQ
zRmYcYddoka,Pending Response,04-22-2020,GMKUaVpXfRw
JgyOMDpvxTM,Pending Response,10-09-2021,AuAYytIqrvV
xdtpbogVZqE,Pending Contract,12-27-2019,BEqdGmNhFgz
eGOOPzFINik,Closed Won,01-11-2018,zNzneMbgnzL
pbbBGOcNPSF,Closed Won,10-26-2022,GRVQIOWkPyX
wkcwWRsowkf,Pending Contract,03-16-2021,wCUgOydtuvr
yGHZnYsMuGq,Closed Won,11-27-2020,LAwDMVVdYYr
wzeLsiyQMyQ,Pending Response,11-02-2017,nWKHaoBwzVK
cLCLgPlqLPZ,Pending Response,01-04-2020,HUcZYanPhjN
uINQTiNUovS,Pending Response,08-06-2020,OOQFGoOvylH
WMSNMXQWizM,Pending Response,12-25-2016,sHAPKtKJYbv
vviBxqDrSQr,Closed Won,03-24-2021,DXfkfHtknEP
HCWNYedIQfK,Pending Contract,04-21-2019,MGvABOJvqwq
khLCLZRQuui,Pending Contract,10-29-2018,lZruyFtQlyE
UomCZVhzGAi,Pending Response,01-08-2018,PiADhecveap
ZKKtagSWqaE,Pending Contract,05-04-2020,FugDUwcRTDj
sKMXdctuIzi,Pending Contract,01-15-2017,CHwBVjhrBQq
EKqeXkgonap,Closed Won,06-24-2020,natXUKAvsAi
YcErNlMzyPG,Pending Contract,12-30-2016,dDtTTjXfxSM
VEprGThJQWy,Pending Response,01-31-2017,tRIymvUgSwV
ADMivyTyqMz,Pending Contract,07-29-2021,fcCaITgYJAd
oRdGtngqajd,Pending Contract,12-28-2016,qJLqARUdjlY
mWcnPjzUnEF,Closed Won,11-30-2018,kKGyrLoyHeU
DkVcuRzHbjn,Pending Response,05-01-2021,TmwPurbyYed
IdSOicWjlCc,Pending Response,06-15-2019,zvAwUtWjkFh
bIiHqMOPumK,Closed Won,11-11-2019,sHAPKtKJYbv
EVOpiSpigjY,Pending Response,12-16-2017,cTfTPRMmlsG
yjsiahJOEwF,Closed Won,06-13-2020,DgKCsyIoDey
eNcgJtZlCAS,Pending Contract,11-20-2022,rTmmxjMmHqY
dbKCUXXegbE,Pending Contract,07-12-2018,iETOnUShuVg
EDCPcnWPsmA,Pending Response,12-03-2022,yWMWpClMLJP
sOmhafarexF,Pending Contract,07-22-2020,FugDUwcRTDj
thEkOymxtZc,Pending Response,02-25-2022,pnmDTDoXMNr
MRjajyGiMRN,Pending Contract,12-18-2022,CSfToRSOQwi
JIJxqLduiml,Closed Won,12-04-2016,CSJRMTdjnOo
QbLUDGFKgLW,Pending Contract,03-11-2020,QhPEAaYiwBE
RKQsviagSfT,Pending Response,09-19-2022,JvPzUybMGth
qJGnVPtfHuh,Closed Won,05-10-2021,pHuyGwhxUSC
wZnBPwXPtQh,Closed Won,10-22-2019,VsoxeLHvgzM
pnWvrTfgmYS,Pending Response,06-14-2020,neRxIEsxVsN
UjZLIXZapRO,Pending Response,06-01-2019,vArwJBqwRKV
iSzIcVaboAo,Pending Response,08-03-2018,OxvHBOKHGhi
EfxsZUfyJrz,Closed Won,05-31-2019,ByItClIfhAn
uKpCONaSeLQ,Closed Won,01-01-2019,SxzBkkqsSqy
SJSdfBYMYbp,Pending Response,04-24-2021,FgcNqqKvPBX
aAJYQUzeFlQ,Pending Contract,11-09-2021,AIYneyLWUIT
KHIvoYdXcbg,Pending Contract,07-07-2019,zvjXMXDigzp
GspeGSWQJPe,Pending Contract,05-09-2018,CeITAqgKpHv
YYrkzzeHLJi,Pending Contract,05-05-2022,htoIksBOIyS
FdXvuPHyXqe,Pending Contract,07-18-2020,KkuyibHsVNv
uBGxnSpxrev,Closed Won,04-05-2019,zvjXMXDigzp
pYKODoxIebM,Closed Won,09-30-2021,cbiOTwISZSO
MEslLzbdVEL,Closed Won,07-24-2021,lhMSRoRNzFU
XHKVINNNLzw,Pending Response,07-04-2017,cYrIBQjMwhl
yYBxOGaMHyI,Pending Response,12-25-2016,XqdJjpCCbVW
ZTPAePAcwuq,Pending Contract,08-04-2019,qlwgZupoJVh
hogfNdpJBgY,Pending Contract,10-22-2018,JuGowBwlRKS
kwHVxnLwNYR,Pending Response,11-26-2022,PqIKmSdjZTT
qSfqRIVQodG,Pending Contract,11-19-2020,BYQNVYjzfYi
cOfExIqNIOr,Pending Response,05-31-2021,QhPEAaYiwBE
noyWCyiCglJ,Pending Contract,10-06-2022,IhTFjIADoYZ
gukfmkQcJfH,Pending Contract,12-03-2016,IvKEtHpgnIc
MStdiSbQjvf,Pending Contract,08-18-2021,jdjVefOTLQY
bnpEaycqSng,Closed Won,02-15-2017,GpMoBmxCcrU
lhQyYXBOomh,Pending Response,01-11-2017,PmEkPoOdRpY
VunBCJUxoEG,Pending Response,06-14-2020,vsWVrFSBihs
vbQOjclHQLZ,Pending Contract,04-09-2017,SJlfYRpxkyS
eGDipbaDWaS,Pending Response,08-10-2017,VsGUBDJVMDw
RDTgJsLVhQr,Pending Contract,11-19-2020,OOQFGoOvylH
vrcvZaBtYTW,Pending Response,10-11-2021,vNrIVIQvNsT
dStNctfCPRc,Closed Won,04-21-2021,GgTdHQgrvIg
RIUMfKjYEoA,Closed Won,10-25-2021,mnZLjtKAVNK
WXQHhtOjqek,Pending Contract,12-27-2017,VFMSDkbKRrJ
krtJdTziRoz,Pending Response,06-10-2018,iLDtDGSIkuu
KHyRbadbozf,Pending Response,01-31-2020,BMnWkIVvULw
csnaGxRYvNR,Pending Response,03-17-2017,iinDHTzcDLZ
meFQkMcZIOM,Pending Response,04-14-2017,ZlyCagDOKZj
vxhMikUErnJ,Pending Response,02-05-2019,TjCDZEEylpO
kpUDslqWyph,Closed Won,01-21-2021,yJDuyFyOXZs
hapVzhYGAYE,Pending Contract,03-28-2020,eUTzAcPjGCG
AJjqWYTNClN,Pending Contract,07-09-2017,mraFbBEtUpw
xsOtjnDYKEs,Pending Response,10-01-2022,JuGowBwlRKS
IHZCLdryLKz,Pending Response,05-18-2017,CyDdQrBPOZD
IMNfgtHkMsf,Closed Won,02-19-2020,BqeEVHoBVME
oQNgYCnaCvo,Closed Won,08-16-2018,xpVgLEwWIfX
WGrnILMexlr,Closed Won,07-29-2019,wofxKjfrxBJ
CDYsfCbmXUZ,Pending Contract,01-04-2017,KzFoEkhdVhQ
nMZkYJkAToJ,Pending Response,10-29-2020,LHqMUVitfWv
rrgjCCBeLoA,Pending Response,07-21-2022,GwpNxNbNcQI
NkGTvUwdTNH,Pending Response,12-28-2021,oaLsuBTybCE
AWmFwHaxrsg,Closed Won,11-02-2017,uolHTwDoUym
MXLyfJBVCpN,Pending Response,02-12-2020,AUuCNtGmMQM
hYXxvleUIow,Pending Contract,11-25-2022,CWJnmBzLGYw
CnuEEWixKSA,Pending Response,05-04-2019,QPGZDcpuJpu
wfzRftjigiT,Closed Won,03-12-2020,uSWezzrmVeM
jlhkZQRipvf,Closed Won,03-02-2021,aVvzLfSdLKl
vvLwIDlLzae,Closed Won,05-17-2017,IvKEtHpgnIc
AZDABkKAgfh,Pending Contract,07-25-2020,ncZKmFsYZnN
GrIIUlJRapZ,Closed Won,07-16-2017,wNemSSKZLoC
aqtGDtDZdQs,Pending Contract,02-12-2021,yFANbSxQPTF
qEPafgPShqR,Closed Won,12-30-2016,RHEOBtTOwaR
LUFeitgPhaT,Pending Contract,04-18-2020,NgeRNdrROZh
DMCFMaXJLbC,Pending Contract,10-28-2021,zQUYNBybLVX
aJFHIaKrhbP,Pending Response,05-14-2019,qfNSCxPOSue
ompsibOASvC,Closed Won,08-13-2018,bDmiAiiTxem
GrcdYmeLenf,Pending Response,12-04-2021,rmFQGIhXAgK
MLOCzxYjyFp,Pending Contract,03-18-2022,favACGLAsVn
gdLJitRnApo,Pending Response,10-22-2020,VFMSDkbKRrJ
QsurgySKoLy,Pending Contract,01-28-2021,yCCHVLiEXhO
OdUiDvzfrVP,Pending Response,06-20-2022,pcLKPjFIafc
PBhTIieZJfk,Pending Contract,08-19-2020,bOonMyLJlLT
eCaPANcvibl,Pending Contract,03-02-2021,FMqBCawYfeX
btSOxmRqsnY,Pending Response,12-30-2020,AJfsUSZkYpG
AklvrwxhLLr,Pending Response,07-27-2021,ieLDYTvfEFg
OmxnNSNJDNY,Pending Contract,12-03-2020,GMKUaVpXfRw
xUaXtaJWUzN,Closed Won,11-14-2017,hmAOHenRduR
itVAqEvpLxt,Pending Response,01-12-2019,vWtFapECDQg
hydEIxgfAIF,Pending Contract,08-28-2020,XPoloyisGrs
unZusXoJkvD,Closed Won,09-22-2020,TzwCAnfZnxm
LvSAFdkRIfl,Pending Response,03-02-2019,CyDdQrBPOZD
SEfjHmQvexk,Closed Won,10-01-2019,IZpnxVzrSaj
tWayKXGcjvR,Closed Won,03-07-2020,WBXjhlhPeed
omCECbgveZA,Pending Contract,05-28-2019,ueOPbgSMNAt
fhnrzpzZmhc,Closed Won,08-29-2018,NjJsGMNsiTO
bjaDfjQjEmD,Pending Contract,08-04-2022,VQqusaMSVex
sbIVLALopox,Closed Won,08-10-2021,MCPVawDWsZK
VERYNeKHVLW,Closed Won,03-24-2022,pnmDTDoXMNr
JTfprdtLtIT,Pending Contract,12-25-2020,ByNztkgBOzi
ttneajIGRQA,Pending Response,12-27-2016,UzRoIBhzVWV
PJGnqoWwNSi,Pending Response,12-03-2021,LexcpYvXiZz
sTFMSzyiIsg,Closed Won,11-24-2017,BqeEVHoBVME
SJaYcYFBWuc,Pending Response,11-15-2017,hnowyjbWaTN
yZurTHXMrvl,Closed Won,01-28-2022,TxoQFQTIlfJ
kXeaOjtXCBZ,Closed Won,03-04-2020,brYSbvvWLgS
huGrrDRXMGL,Closed Won,10-31-2021,etBLtqIQCdK
xESAfGbJwMf,Pending Contract,09-25-2018,rfEsUPyFbBm
ybQapbTuUkl,Pending Contract,07-29-2018,MHLkpypeiVs
uVlFYqqDmRY,Closed Won,06-10-2021,CSfToRSOQwi
xtngQBsaTQS,Closed Won,06-11-2020,gzWkSzYUiPF
oCkzsyTsEnE,Pending Contract,12-12-2019,yvTpqJpxqLC
DWYhmsycYiB,Pending Response,01-28-2019,zvAwUtWjkFh
yzUEATWbYpi,Pending Contract,01-27-2022,nplHTuVXwue
elQfvBSbAZf,Pending Response,06-22-2018,LhzXQlWOGSg
MmEfitqGlhU,Pending Response,10-01-2018,IamYEtykhJj
jXCLcWtHsES,Closed Won,04-21-2022,ZuACGiQSUSm
HjoEBqCesep,Closed Won,03-09-2022,kmUWSBwFaex
DASrCciAqVm,Pending Response,05-27-2018,iOZBMNlGDJS
BJAKUuatdRD,Closed Won,03-22-2022,UzRoIBhzVWV
izwUjRtBGsR,Pending Response,10-31-2022,qLcMSuaeLWF
ERRHVvpMYOg,Pending Contract,12-31-2018,JvjQkVTBKUt
PhYCBSncvqw,Closed Won,02-12-2020,CSfToRSOQwi
doXjCoyfsuT,Pending Response,12-07-2017,BovfwanapbI
tszwNrHlrFa,Pending Contract,05-14-2021,sMQWAEHgMtR
XFmjwoSeJsy,Pending Response,02-06-2018,EYHsnUJKMLd
hCbsrsxHrIZ,Closed Won,01-04-2019,aldzZTHGYgF
QDpnsKBrcJD,Closed Won,02-20-2018,RCnQZjUfzqP
aHQByKqPqNa,Closed Won,07-08-2019,QcnUhoOSGGh
seEWavKEUka,Pending Response,03-28-2020,PwILOVKinMk
qbacFQyuveb,Pending Response,08-07-2017,DHnRBirsCIk
PkQbZwbYzmA,Pending Response,04-21-2017,JvDFihXqMNY
DtVtJanRAhO,Pending Response,01-10-2018,HhtOHFtXyIp
qzsesKVYVoQ,Pending Response,09-05-2021,UweeSUXyTvY
NXcHvutvMDz,Pending Contract,03-10-2017,WLrnuqmniZt
glRxNNkeZqg,Pending Response,11-18-2019,dHVXnofOuJH
wXsrXHTlYFM,Pending Contract,02-03-2022,GgTdHQgrvIg
iVgqhVUMmJK,Closed Won,12-26-2016,KzFoEkhdVhQ
dQaUukwxSIG,Pending Response,03-03-2020,mfDJkSBbPNG
SJDQNYKvGfF,Pending Contract,08-21-2017,yzOcgVGSFUJ
DBzfKUdmkjJ,Pending Contract,09-05-2019,RwytNQwDKSW
SHDXKXXVgBO,Closed Won,07-13-2017,ZlyCagDOKZj
nHiVeVrLavv,Pending Contract,07-04-2019,LamLEwlXmpp
xkYLhKROZbp,Pending Response,09-24-2018,htEKMKfPONS
zFprHQHXwWt,Pending Response,01-06-2020,hLSBGCykgcj
YOilGnZExmD,Pending Response,09-20-2021,IKRFaenhYkq
oHomvdirsxd,Closed Won,03-14-2020,qlwgZupoJVh
fgGEgjFfuEk,Closed Won,06-20-2017,PbMgcKmPYTd
NjRwHnvUAcg,Pending Contract,12-13-2022,ZlyCagDOKZj
tGFBOVoNVZB,Pending Response,05-21-2018,bcPMXDRZeZV
vppfcjyLWWJ,Pending Response,09-18-2021,SpLAUiZdnCa
wMLwqIdTACp,Pending Contract,12-22-2021,VPFFAruVhEU
puLPWAGZerE,Pending Contract,11-10-2018,HuxuiTeCnFC
dXmHWpWfHUD,Pending Contract,04-21-2019,NVbVeSdTfNv
ChchzDtsBnl,Pending Contract,02-12-2021,VsGUBDJVMDw
fTsDZYDeWxL,Pending Response,11-17-2021,bcPMXDRZeZV
OBiQZjFDmkE,Pending Response,01-04-2020,SxzBkkqsSqy
RJVNYVlPPnh,Pending Response,04-25-2018,klqHkVXQNyH
dGrqDnDzLLn,Closed Won,05-04-2022,ulUaZivvVLN
zjvJOasDvzg,Pending Response,11-14-2018,wsBxpXKoCsJ
BJSprPQZgXP,Closed Won,02-10-2017,NVbVeSdTfNv
eEgNMmjVnEf,Pending Response,01-09-2021,zvAwUtWjkFh
fNQyTydwqwr,Pending Contract,09-23-2018,BMnWkIVvULw
IXCNQUPjqOK,Pending Contract,07-19-2020,tngvneewaLv
aWGtKVCIWKR,Pending Contract,12-01-2021,RHEOBtTOwaR
pNRUSDNoHfj,Pending Contract,07-02-2018,jcgcfhsdhjA
FRKlrHHImBV,Pending Contract,09-07-2019,PYbOYUAkZbn
gMAQuoNKmDT,Pending Response,03-10-2019,PKISFGLDNuB
nwoCoUGLBTi,Pending Contract,03-29-2019,tuouvABTshv
gosUIrpiajw,Closed Won,11-17-2017,yzOcgVGSFUJ
qsgKzSLavIw,Closed Won,07-11-2022,ZmNrwxIHTJV
vDyyijqopVF,Pending Response,07-08-2018,mfDJkSBbPNG
NlXVHeiMXRY,Pending Contract,10-09-2019,ZInkKKbMtUA
CPUyvZMfPSN,Closed Won,09-25-2018,RHEOBtTOwaR
LBPqjMXAVvx,Closed Won,05-14-2018,VsGUBDJVMDw
OPVoszaxUqC,Pending Response,08-22-2021,ulUaZivvVLN
dlfvcDRrgdB,Pending Response,08-08-2019,OZKsvLzKigq
EtEqRsHEWuq,Closed Won,08-10-2018,yBzCkGBIkxh
MfcstwToxrR,Closed Won,03-22-2017,KkOqxRXvbZs
ZbNqtruNNQN,Closed Won,11-02-2020,zRvkGPCAfmk
XFMeYEfNHsI,Pending Response,12-04-2017,VQqusaMSVex
FtvSqSdxaxT,Pending Response,06-05-2021,IamYEtykhJj
hzIlHQitBMn,Pending Contract,09-23-2018,vArwJBqwRKV
kCqCajOIURG,Pending Response,01-08-2022,xrgeBfLZyuN
oaZjFUSPrDx,Pending Contract,04-10-2019,mSfYYhBgeSP
NFtCYpaslJQ,Closed Won,12-11-2021,zZSzDBDgJMb
MAdURQIVVsB,Pending Response,03-22-2018,lyuKappBRdQ
mZNNLvCxNaQ,Pending Contract,12-09-2021,TzwCAnfZnxm
LXHOOUNMBeC,Pending Contract,09-11-2017,mHbSluRJhkE
hxkFpvGlsbG,Pending Contract,03-27-2022,dHVXnofOuJH
gFbMQugCPYL,Pending Response,04-30-2019,VWrDINBIKxC
